iter	Passed	Remaining
306	674	1522
307	675	1518
308	677	1515
309	679	1512
310	681	1509
311	683	1507
312	687	1509
313	690	1509
314	692	1506
315	694	1502
316	695	1499
317	697	1496
318	699	1494
319	702	1492
320	704	1489
321	705	1485
322	707	1481
323	708	1478
324	710	1474
325	712	1472
326	715	1471
327	717	1469
328	718	1466
329	720	1462
330	722	1460
331	724	1457
332	725	1454
333	730	1455
334	734	1457
335	736	1455
336	738	1452
337	739	1449
338	744	1451
339	747	1451
340	750	1450
341	752	1448
342	754	1445
343	756	1443
344	759	1442
345	762	1441
346	765	1439
347	767	1438
348	769	1436
349	772	1435
350	776	1435
351	779	1434
352	781	1432
353	784	1430
354	786	1428
355	789	1427
356	791	1425
357	794	1424
358	796	1422
359	799	1420
360	801	1419
361	805	1419
362	808	1418
363	810	1416
364	813	1415
365	815	1412
366	817	1410
367	822	1412
368	825	1410
369	827	1409
370	830	1407
371	832	1405
372	837	1407
373	840	1405
374	844	1406
375	846	1405
376	848	1402
377	853	1404
378	856	1403
379	858	1401
380	861	1399
381	863	1397
382	867	1397
383	870	1396
384	872	1394
385	874	1391
386	876	1388
387	878	1386
388	882	1385
389	885	1384
390	887	1382
391	889	1379
392	891	1376
393	893	1373
394	897	1375
395	900	1373
396	902	1371
397	905	1369
398	907	1366
399	909	1364
400	915	1366
401	917	1364
402	919	1361
403	921	1359
404	923	1356
405	928	1357
406	932	1358
407	934	1356
408	937	1354
409	939	1351
410	943	1352
411	946	1350
412	948	1347
413	949	1344
414	951	1341
415	953	1338
416	957	1338
417	960	1336
418	962	1334
419	964	1331
420	966	1329
421	969	1327
422	972	1327
423	975	1325
424	978	1323
425	980	1320
426	982	1318
427	985	1317
428	991	1319
429	993	1316
430	995	1314
431	998	1312
432	1004	1315
433	1011	1319
434	1018	1322
435	1026	1327
436	1034	1332
437	1038	1332
438	1044	1335
439	1047	1333
440	1050	1331
441	1052	1328
442	1055	1326
443	1057	1324
444	1061	1323
445	1065	1323
446	1068	1322
447	1071	1319
448	1072	1316
449	1074	1313
450	1079	1313
451	1083	1313
452	1086	1312
453	1089	1310
454	1093	1309
455	1098	1310
456	1101	1308
457	1103	1306
458	1107	1304
459	1114	1308
460	1117	1306
461	1119	1304
462	1122	1301
463	1128	1303
464	1131	1301
465	1134	1299
466	1136	1297
467	1138	1294
468	1141	1291
469	1147	1293
470	1150	1292
471	1160	1298
472	1164	1297
473	1166	1294
474	1168	1291
475	1171	1290
476	1174	1287
477	1176	1284
478	1178	1281
479	1179	1278
480	1182	1276
481	1186	1274
482	1190	1274
483	1193	1272
484	1195	1269
485	1200	1269
486	1204	1268
487	1206	1265
488	1208	1263
489	1210	1260
490	1212	1257
491	1214	1254
492	1217	1252
493	1219	1249
494	1221	1246
495	1223	1243
496	1225	1240
497	1227	1237
498	1233	1238
499	1235	1235
500	1238	1233
501	1239	1230
502	1241	1227
503	1245	1225
504	1250	1226
505	1253	1223
506	1255	1220
507	1257	1218
508	1260	1215
509	1265	1215
510	1269	1214
511	1272	1213
512	1275	1210
513	1279	1210
514	1283	1208
515	1286	1206
516	1290	1205
517	1304	1213
518	1312	1216
519	1317	1215
520	1319	1213
521	1321	1210
522	1325	1209
523	1328	1206
524	1330	1204
525	1332	1201
526	1335	1198
527	1336	1195
528	1339	1193
529	1342	1190
530	1346	1189
531	1348	1186
532	1351	1183
533	1353	1180
534	1355	1178
535	1357	1175
536	1359	1172
537	1361	1168
538	1363	1166
539	1365	1162
540	1367	1160
541	1371	1158
542	1374	1157
543	1376	1153
544	1378	1150
545	1380	1147
546	1383	1146
547	1386	1143
548	1389	1141
549	1391	1138
550	1393	1135
551	1396	1133
552	1399	1131
553	1402	1129
554	1404	1126
555	1406	1123
556	1408	1120
557	1410	1117
558	1411	1113
559	1414	1111
560	1416	1108
561	1418	1105
562	1420	1102
563	1422	1099
564	1424	1097
565	1427	1094
566	1429	1091
567	1432	1089
568	1434	1086
569	1437	1084
570	1439	1081
571	1443	1079
572	1445	1077
573	1447	1074
574	1449	1071
575	1451	1068
576	1453	1065
577	1454	1062
578	1457	1059
579	1459	1056
580	1462	1054
581	1464	1051
582	1465	1048
583	1467	1045
584	1469	1042
585	1474	1041
586	1476	1038
587	1478	1035
588	1480	1033
589	1482	1029
590	1483	1026
591	1485	1024
592	1488	1021
593	1490	1018
594	1492	1015
595	1494	1012
596	1495	1009
597	1497	1006
598	1499	1004
599	1501	1000
600	1504	998
601	1506	995
602	1508	992
603	1509	989
604	1511	987
605	1513	984
606	1515	981
607	1516	977
608	1518	975
609	1521	972
610	1523	969
611	1525	967
612	1527	964
613	1528	961
614	1530	958
615	1531	954
616	1534	952
617	1535	949
618	1536	946
619	1538	943
620	1540	940
621	1543	938
622	1545	935
623	1547	932
624	1549	929
625	1550	926
626	1554	924
627	1557	922
628	1559	919
629	1560	916
630	1562	913
631	1565	911
632	1566	908
633	1568	905
634	1571	903
635	1573	900
636	1574	897
637	1576	894
638	1578	891
639	1580	888
640	1581	885
641	1585	884
642	1589	882
643	1591	879
644	1594	877
645	1596	875
646	1599	872
647	1603	871
648	1605	868
649	1606	865
650	1609	863
651	1612	860
652	1614	858
653	1616	855
654	1618	852
655	1620	849
656	1622	847
657	1624	844
658	1626	841
659	1627	838
660	1629	835
661	1631	833
662	1633	830
663	1636	828
664	1638	825
665	1640	822
666	1642	819
667	1644	817
668	1646	814
669	1648	812
670	1651	809
671	1653	806
672	1654	803
673	1658	802
674	1661	799
675	1662	797
676	1664	794
677	1667	791
678	1669	789
679	1671	786
680	1673	784
681	1676	781
682	1677	778
683	1679	775
684	1681	773
685	1682	770
686	1685	767
687	1686	764
688	1688	761
689	1689	759
690	1691	756
691	1695	754
692	1697	751
693	1699	749
694	1701	746
695	1702	743
696	1711	743
697	1715	742
698	1717	739
699	1718	736
700	1722	734
701	1723	731
702	1725	728
703	1728	726
704	1732	724
705	1734	722
706	1737	719
707	1741	718
708	1744	716
709	1747	713
710	1750	711
711	1756	710
712	1760	708
713	1763	706
714	1766	704
715	1768	701
716	1770	698
717	1773	696
718	1775	693
719	1777	691
720	1779	688
721	1781	686
722	1783	683
723	1786	680
724	1788	678
725	1790	675
726	1792	673
727	1795	670
728	1797	668
729	1799	665
730	1801	662
731	1804	660
732	1806	657
733	1809	655
734	1811	653
735	1813	650
736	1815	647
737	1816	645
738	1819	642
739	1821	639
740	1823	637
741	1825	634
742	1827	632
743	1829	629
744	1831	626
745	1834	624
746	1837	622
747	1839	619
748	1842	617
749	1844	614
750	1846	612
751	1849	609
752	1851	607
753	1853	604
754	1856	602
755	1858	599
756	1860	597
757	1862	594
758	1865	592
759	1867	589
760	1869	587
761	1871	584
762	1874	582
763	1876	579
764	1877	576
765	1879	574
766	1881	571
767	1884	569
768	1886	566
769	1888	564
770	1890	561
771	1892	558
772	1894	556
773	1896	553
774	1900	551
775	1903	549
776	1906	547
777	1909	544
778	1912	542
779	1913	539
780	1915	537
781	1917	534
782	1919	532
783	1921	529
784	1924	527
785	1926	524
786	1928	522
787	1931	519
788	1933	517
789	1935	514
790	1937	511
791	1939	509
792	1941	506
793	1943	504
794	1945	501
795	1947	499
796	1949	496
797	1951	494
798	1953	491
799	1955	488
800	1956	486
801	1958	483
802	1961	481
803	1963	478
804	1965	476
805	1967	473
806	1968	470
807	1971	468
808	1973	465
809	1977	463
810	1980	461
811	1983	459
812	1985	456
813	1987	454
814	1988	451
815	1992	449
816	1994	446
817	1996	444
818	1998	441
819	2000	439
820	2002	436
821	2004	434
822	2007	431
823	2009	429
824	2010	426
825	2013	424
826	2015	421
827	2017	419
828	2018	416
829	2020	413
830	2023	411
831	2027	409
832	2029	406
833	2031	404
834	2033	401
835	2035	399
836	2038	397
837	2040	394
838	2042	391
839	2044	389
840	2046	386
841	2048	384
842	2050	381
843	2052	379
844	2054	376
845	2056	374
846	2059	371
847	2062	369
848	2064	367
849	2067	364
850	2070	362
851	2072	359
852	2074	357
853	2076	354
854	2078	352
855	2080	349
856	2083	347
857	2086	345
858	2088	342
859	2090	340
860	2092	337
861	2094	335
862	2099	333
863	2102	330
864	2104	328
865	2106	325
866	2107	323
867	2109	320
868	2111	318
869	2113	315
870	2116	313
871	2117	310
872	2119	308
873	2121	305
874	2123	303
875	2127	301
876	2130	298
877	2132	296
878	2133	293
879	2135	291
880	2137	288
881	2139	286
882	2143	283
883	2144	281
884	2146	278
885	2148	276
886	2150	273
887	2152	271
888	2154	269
889	2156	266
890	2159	264
891	2160	261
892	2162	259
893	2164	256
894	2165	254
895	2167	251
896	2169	249
897	2171	246
898	2174	244
899	2177	241
900	2179	239
901	2182	237
902	2185	234
903	2187	232
904	2189	229
905	2191	227
906	2192	224
907	2194	222
908	2197	219
909	2198	217
910	2200	214
911	2203	212
912	2205	210
913	2207	207
914	2208	205
915	2210	202
916	2212	200
917	2214	197
918	2215	195
919	2219	192
920	2221	190
921	2222	188
922	2224	185
923	2227	183
924	2229	180
925	2231	178
926	2234	175
927	2236	173
928	2238	171
929	2240	168
930	2241	166
931	2243	163
932	2245	161
933	2249	158
934	2250	156
935	2253	154
936	2255	151
937	2257	149
938	2259	146
939	2261	144
940	2263	141
941	2265	139
942	2267	137
943	2269	134
944	2270	132
945	2272	129
946	2274	127
947	2276	124
948	2277	122
949	2279	119
950	2282	117
951	2285	115
952	2287	112
953	2288	110
954	2290	107
955	2293	105
956	2295	103
957	2297	100
958	2298	98
959	2300	95
960	2301	93
961	2303	90
962	2305	88
963	2307	86
964	2310	83
965	2312	81
966	2314	78
967	2316	76
968	2318	74
969	2320	71
970	2322	69
971	2326	67
972	2328	64
973	2330	62
974	2332	59
975	2334	57
976	2336	55
977	2338	52
978	2341	50
979	2344	47
980	2345	45
981	2347	43
982	2349	40
983	2351	38
984	2352	35
985	2361	33
986	2363	31
987	2364	28
988	2366	26
989	2368	23
990	2370	21
991	2372	19
992	2374	16
993	2376	14
994	2378	11
995	2379	9
996	2380	7
997	2383	4
998	2386	2
999	2388	0
